id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,tags,tags_descriptions,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,can_vote,vote_count,user_voted
7,Welcome to Discourse,Welcome to Discourse,welcome-to-discourse,3,63,161,https://europe1.discourse-cdn.com/flex013/uploads/iitm/original/1X/fe5bdff8ebe4e6336199845b9df88d81a662b699.png,2021-03-19T10:30:31.722Z,2025-05-25T11:19:15.145Z,True,2025-05-25T11:19:15.145Z,regular,False,True,,"Dear Member, 
Welcome to the 'Programming and Data Science' programme of IIT Madras. 
This is a Discourse site to allow learners of this programme to interact, collaborate and build the community through civilized discus&hellip;",True,False,False,,,['guidelines'],{},51676,296,False,24f3000119,75,True,,False,False,,
176077,Project1 - Virtual TA - Discussion Thread [TDS May 2025],Project1 - Virtual TA - Discussion Thread [TDS May 2025],project1-virtual-ta-discussion-thread-tds-may-2025,260,169,266,,2025-05-22T21:36:32.840Z,2025-06-12T11:56:11.879Z,True,2025-06-12T11:56:11.879Z,regular,False,True,,"Please post any questions related to Project 1 
Please use markdown code formatting (fenced code blocks beginning with ```) when sharing code (rather than screenshots). It's easier for us to copy-paste and test. 
Deadlin&hellip;",True,False,False,,,"['term2-2025', 'tds-project-1']",{},1871,105,True,23f2003651,34,False,,False,False,,
178938,Exam centre in oman,Exam centre in oman,exam-centre-in-oman,4,0,4,,2025-06-12T06:40:46.722Z,2025-06-12T10:59:07.974Z,True,2025-06-12T10:59:07.974Z,regular,True,False,,,True,False,False,,,"['clarification', 'term1-2025']",{},36,0,False,AQur,75,False,,False,False,,
178706,Discrepancy in Score Display,Discrepancy in Score Display,discrepancy-in-score-display,2,0,2,,2025-06-10T13:03:21.482Z,2025-06-12T10:30:32.244Z,True,2025-06-12T10:30:32.244Z,regular,False,False,,,True,False,False,,,"['course-portal', 'error', 'discourse-forum', 'term2-2025']",{},15,0,False,23f1001171,32,False,,False,False,,
178618,Submissions of Weekly Graded Assignment of TDS,Submissions of Weekly Graded Assignment of TDS,submissions-of-weekly-graded-assignment-of-tds,3,0,3,https://europe1.discourse-cdn.com/flex013/uploads/iitm/original/3X/e/b/ebebd516796a3f6ff08278e4eb8ee662f7b7158e.jpeg,2025-06-10T06:34:51.065Z,2025-06-12T09:28:38.003Z,True,2025-06-12T09:28:38.003Z,regular,False,False,,,True,False,False,,,"['clarification', 'course-portal', 'term2-2025']",{},52,0,False,24f1002463,34,False,,False,False,,
178878,Getting an api key error upon running npx -y promptfoo eval --config project-tds-virtual-ta-promptfoo.yaml,Getting an api key error upon running npx -y promptfoo eval &ndash;config project-tds-virtual-ta-promptfoo.yaml,getting-an-api-key-error-upon-running-npx-y-promptfoo-eval-config-project-tds-virtual-ta-promptfoo-yaml,2,0,2,,2025-06-11T15:59:44.146Z,2025-06-12T09:04:32.396Z,True,2025-06-12T09:04:32.396Z,regular,False,False,,,True,False,False,,,"['clarification', 'diploma-level', 'term2-2025']",{},32,0,False,23f2003651,34,False,,False,False,,
178947,Upcoming exam dates,Upcoming exam dates,upcoming-exam-dates,2,0,2,https://europe1.discourse-cdn.com/flex013/uploads/iitm/optimized/3X/b/6/b6e0feba7c96848dce4bc34f2ce6aad50790bd43_2_1023x575.png,2025-06-12T07:48:48.735Z,2025-06-12T07:49:25.556Z,True,2025-06-12T07:50:08.508Z,regular,True,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},12,0,False,MKS,32,False,,False,False,,
178898,Api Key Error,Api Key Error,api-key-error,2,0,2,,2025-06-11T18:29:53.636Z,2025-06-12T06:50:28.438Z,True,2025-06-12T06:50:28.438Z,regular,False,False,,,True,False,False,,,"['clarification', 'diploma-level', 'term2-2025']",{},32,0,False,23f2003651,34,False,,False,False,,
178934,Regarding CGPA calculation,Regarding CGPA calculation,regarding-cgpa-calculation,2,0,2,https://europe1.discourse-cdn.com/flex013/uploads/iitm/original/3X/0/f/0f179dedcd1997aeb54bc47fe07df32fbcfc621f.png,2025-06-12T06:16:36.608Z,2025-06-12T06:18:14.686Z,True,2025-06-12T06:18:14.686Z,regular,True,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},32,0,False,21f2001128,75,False,,False,False,,
178889,Is there any Whatsapp group for BS degree students?,Is there any Whatsapp group for BS degree students?,is-there-any-whatsapp-group-for-bs-degree-students,4,0,5,,2025-06-11T17:15:50.576Z,2025-06-12T05:48:53.211Z,True,2025-06-12T05:48:53.211Z,regular,False,False,,,True,False,False,,,"['foundation-level', 'term1-2025']",{},80,0,False,24f3002656,75,False,,False,False,,
178039,ðŸ”¥ Learnsy â€“ Convert Any YouTube Playlist into a Streak-Driven Study Routine,:fire: Learnsy â€“ Convert Any YouTube Playlist into a Streak-Driven Study Routine,learnsy-convert-any-youtube-playlist-into-a-streak-driven-study-routine,10,3,10,https://europe1.discourse-cdn.com/flex013/uploads/iitm/optimized/3X/4/4/4464d23073db56c2cdce32b8cf7d92029ae2c413_2_1024x575.jpeg,2025-06-06T10:29:50.693Z,2025-06-12T05:40:54.293Z,True,2025-06-12T05:40:54.293Z,regular,False,False,,,True,False,False,,,[],{},279,23,False,Aris,46,False,,False,False,,
178896,Selected for PhD at IIT Bombay CSE Department,Selected for PhD at IIT Bombay CSE Department,selected-for-phd-at-iit-bombay-cse-department,4,1,4,https://europe1.discourse-cdn.com/flex013/uploads/iitm/original/3X/d/4/d4d6a8722a98e41be8400f18ca780f9bd27af80c.jpeg,2025-06-11T17:55:33.930Z,2025-06-12T05:01:18.993Z,True,2025-06-12T05:01:18.993Z,regular,False,False,,,True,False,False,,,[],{},91,17,False,tarang96,46,False,,False,False,,
177365,What is happening here? What is Discourse?,What is happening here? What is Discourse?,what-is-happening-here-what-is-discourse,10,6,11,,2025-06-02T11:37:29.995Z,2025-06-12T04:21:37.115Z,True,2025-06-12T04:21:37.115Z,regular,False,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},176,4,False,24F2008025,7,False,,False,True,0.0,False
178835,Internship related : Scam ya real?,Internship related : Scam ya real?,internship-related-scam-ya-real,28,23,28,,2025-06-11T09:55:15.716Z,2025-06-12T03:56:59.059Z,True,2025-06-12T03:56:59.059Z,regular,False,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},120,11,False,nikkk_kkkhil,61,False,,False,False,,
178918,Job opportunity: Quant modeler @ Barclays,Job opportunity: Quant modeler @ Barclays,job-opportunity-quant-modeler-barclays,1,0,1,,2025-06-12T03:36:52.781Z,2025-06-12T03:36:52.904Z,True,2025-06-12T03:36:52.904Z,regular,True,False,,,True,False,False,,,"['stats-2', 'job']",{},37,1,False,24f1002505,48,False,,False,True,0.0,False
178839,I purchased internship from practsphere ( got a mail on official college id) . But i only paid partial amount ( registration fees 1000) they are asking for another 5K for full internship . I have read that it is a scam on this discussion forum what should,I purchased internship from practsphere ( got a mail on official college id) . But i only paid partial amount ( registration fees 1000) they are asking for another 5K for full internship . I have read that it is a scam on this discussion forum what should I do?,internship-from-practsphere-scam-registration-fees-1000-another-5k-full-internship-read-scam-discussion-forum,4,2,5,,2025-06-11T10:09:41.628Z,2025-06-12T01:27:10.462Z,True,2025-06-12T01:27:10.462Z,regular,False,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},101,0,False,24f2003669,61,False,,False,False,,
178907,Time of lab,Time of lab,time-of-lab,1,0,1,,2025-06-11T23:34:02.323Z,2025-06-11T23:34:02.390Z,True,2025-06-11T23:34:02.390Z,regular,False,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},28,0,False,24f2100326,75,False,,False,False,,
178897,Refund policy of course drop,Refund policy of course drop,refund-policy-of-course-drop,1,0,1,,2025-06-11T18:22:12.281Z,2025-06-11T18:22:12.352Z,True,2025-06-11T22:54:03.136Z,regular,False,False,,,True,True,False,,,"['foundation-level', 'term2-2025']",{},21,0,False,24f3002671,75,False,,False,False,,
178895,My Interview Experience for MTech/MS/PhD,My Interview Experience for MTech/MS/PhD,my-interview-experience-for-mtech-ms-phd,1,0,1,https://europe1.discourse-cdn.com/flex013/uploads/iitm/original/3X/a/1/a184d2740eeea4c641475d37690b56e4ddec01ca.png,2025-06-11T17:51:58.060Z,2025-06-11T17:51:58.144Z,True,2025-06-11T17:51:58.144Z,regular,False,False,,,True,False,False,,,[],{},54,5,False,tarang96,46,False,,False,False,,
177934,So less activity on discourse these days :),So less activity on discourse these days :slight_smile:,so-less-activity-on-discourse-these-days,12,9,12,,2025-06-05T10:36:13.585Z,2025-06-11T17:12:34.368Z,True,2025-06-11T17:12:34.368Z,regular,False,False,,,True,False,False,,,"['miscellaneous', 'term2-2024']",{},248,5,False,naman14,75,False,,False,False,,
178881,GA4 - Data Sourcing - Discussion Thread [TDS May 2025],GA4 - Data Sourcing - Discussion Thread [TDS May 2025],ga4-data-sourcing-discussion-thread-tds-may-2025,1,0,1,,2025-06-11T16:23:45.872Z,2025-06-11T16:23:46.149Z,True,2025-06-11T16:23:46.149Z,regular,False,False,,,True,False,False,,,"['term2-2025', 'graded-assignment', 'week-4']",{},39,2,False,s.anand,34,False,,False,False,,
178857,Live classes Mandatory or Optional?,Live classes Mandatory or Optional?,live-classes-mandatory-or-optional,3,1,3,,2025-06-11T13:03:29.436Z,2025-06-11T13:32:21.922Z,True,2025-06-11T13:32:21.922Z,regular,False,False,,,True,False,False,,,"['foundation-level', 'term2-2025']",{},49,2,False,DivyaDd,7,False,,False,True,0.0,False
178195,Intership,Intership,intership,20,10,21,https://europe1.discourse-cdn.com/flex013/uploads/iitm/optimized/3X/1/0/10b8cf5caf9aa9d0719f5e31dc982f7915ce5a67_2_1024x613.png,2025-06-08T07:53:49.921Z,2025-06-11T10:59:01.076Z,True,2025-06-11T10:59:01.076Z,regular,False,False,,,True,False,False,,,['foundation-level'],{},337,17,False,23f2001123,61,False,,False,False,,
178634,Confusion about how to use the course portal efficiently,Confusion about how to use the course portal efficiently,confusion-about-how-to-use-the-course-portal-efficiently,5,2,5,,2025-06-10T07:49:35.408Z,2025-06-11T10:38:50.094Z,True,2025-06-11T10:38:50.094Z,regular,False,False,,,True,False,False,,,"['clarification', 'course', 'howto']",{},71,2,False,25f2003462,2,False,,True,True,0.0,False
178505,SCT is approved or not?,SCT is approved or not?,sct-is-approved-or-not,19,12,21,,2025-06-09T16:00:39.785Z,2025-06-11T09:47:45.970Z,True,2025-06-11T09:47:45.970Z,regular,False,False,,,True,False,False,,,"['clarification', 'foundation-level', 'term2-2025', 'oppe-sct']",{},135,2,False,Arghya,7,False,,False,True,0.0,False
178734,Bs student eligible for inter iit sports meet?,Bs student eligible for inter iit sports meet?,bs-student-eligible-for-inter-iit-sports-meet,7,4,8,,2025-06-10T16:04:48.684Z,2025-06-11T06:58:26.674Z,True,2025-06-11T06:58:26.674Z,regular,False,False,,,True,False,False,,,"['clarification', 'miscellaneous', 'diploma-level', 'guidelines', 'term3-2025']",{},141,3,False,ch24b077,75,False,,False,False,,
164573,SCT Related Doubts | T1- 2025 | Post Here,SCT Related Doubts | T1- 2025 | Post Here,sct-related-doubts-t1-2025-post-here,305,54,331,,2025-01-22T07:05:22.750Z,2025-06-11T06:49:22.620Z,True,2025-06-11T06:49:22.620Z,regular,False,False,,,True,False,False,,,"['clarification', 'term1-2025', 'oppe-sct']",{},1204,98,True,23f2001696,7,False,,False,True,4.0,False
76243,BDM May Term 2025 | References | Guidelines,BDM May Term 2025 | References | Guidelines,bdm-may-term-2025-references-guidelines,4,2,10,,2023-01-30T07:55:52.850Z,2025-06-11T05:58:33.302Z,True,2025-06-11T05:58:33.302Z,regular,False,True,,"Course Instructors

@rajan.iitm
@dibujohn

TAs:

@21f3001136 ,
@sandeepstele

Assignment Related queries: TAs
Quiz 2: @rajan.iitm 
ROE: @dibujohn 
Tag instructor / TA if there are queries and expect response to your post&hellip;",True,False,False,,,"['operational', 'guidelines', 'term2-2025']",{},1035,9,False,krishnajeena,30,False,,False,False,,
178762,Can not use IITM email address for google cloud and Gemini key creation for GenAI projects,Can not use IITM email address for google cloud and Gemini key creation for GenAI projects,can-not-use-iitm-email-address-for-google-cloud-and-gemini-key-creation-for-genai-projects,1,0,1,https://europe1.discourse-cdn.com/flex013/uploads/iitm/optimized/3X/d/6/d606787595b0c4510dc59d450371f5ee5ff543b4_2_1024x523.png,2025-06-10T21:50:56.388Z,2025-06-10T21:50:56.648Z,True,2025-06-10T21:50:56.648Z,regular,False,False,,,True,False,False,,,"['clarification', 'term2-2025']",{},38,0,False,22f1003018,34,False,,False,False,,
177967,Urgent: Not able to access the course,Urgent: Not able to access the course,urgent-not-able-to-access-the-course,6,3,6,,2025-06-05T16:22:55.164Z,2025-06-10T17:32:10.684Z,True,2025-06-10T17:32:10.684Z,regular,False,False,,,True,False,False,,,"['diploma-level', 'term2-2025']",{},73,0,False,22f3001974,7,False,,False,True,1.0,False